Module,Test Case ID,Test Description,Automation Status
Applications List,AL_11,Clicking multiple checkboxes selects applicants and shows bulk action bar,Done
Applications List,AL_14,Select All checkbox selects all currently visible applicants,Done
Applicant Detail,AD_01,Applicant detail page loads with name score and match details,Done
Applicant Detail,AD_02,Personal details section shows name email location and years of experience,Done
Applicant Detail,AD_03,Match score (0-100) shown with band label (Strong/Fair/Weak) and color,Done
Applicant Detail,AD_04,Match summary paragraph is shown below the score,Done
Applicant Detail,AD_05,Criteria breakdown rows render grouped by Must/Preferred/Nice tier,Done
Applicant Detail,AD_06,Each criterion row shows matched/partial/no indicator,Done
Applicant Detail,AD_07,Each criterion row shows a numeric score between 0 and 10,Done
Applicant Detail,AD_08,Each criterion row includes a short evidence sentence from the resume,Done
Applicant Detail,AD_09,LinkedIn link shown and clickable for applicant with LinkedIn profile,Done
Applicant Detail,AD_10,Portfolio link shown and clickable for applicant with portfolio URL,Done
Applicant Detail,AD_11,GitHub link shown and clickable for applicant with GitHub URL,Done
Applicant Detail,AD_12,Link missing badge shown when LinkedIn/Portfolio/GitHub URL is absent,Done
Applicant Detail,AD_13,Resume file opens or downloads when resume link is clicked,Skipped
Applicant Detail,AD_15,Status selector highlights the current application status,Done
Applicant Detail,AD_16,Clicking Reviewing updates status; persists on page refresh,Done
Applicant Detail,AD_17,Clicking Shortlisted updates status to Shortlisted,Done
Applicant Detail,AD_18,Clicking Interview Scheduled updates status,Skipped
Applicant Detail,AD_19,Clicking Interviewed updates status,Skipped
Applicant Detail,AD_21,Clicking Hired updates status,Skipped
Applicant Detail,AD_22,Clicking Rejected updates status,Done
Applicant Detail,AD_24,Status change persists after page refresh,Done
Applicant Detail,AD_25,Clicking job title in breadcrumb navigates to /jobs/[code],Done
Applicant Detail,AD_26,Clicking Jobs in breadcrumb navigates to /jobs,Done
Applicant Detail,AD_27,Criterion labels in breakdown match the job's current criteria list,Done
Apply Flow,APPL_01,/apply renders with file upload and cover letter fields,Done
Apply Flow,APPL_02,PDF resume upload accepted; filename displayed with no errors,Done
Apply Flow,APPL_03,DOCX resume upload accepted and processed correctly,Skipped
Apply Flow,APPL_05,Unsupported file type (.jpg) as resume shows error and is rejected,Skipped
Apply Flow,APPL_08,Completing and submitting the form shows success confirmation,Done
Apply Flow,APPL_09,Submitted application appears in the ranked list for the correct job,Skipped
Apply Flow,APPL_10,Submitting without uploading a resume shows validation error,Done
Interview Scheduling,INT_01,/interviews loads showing all upcoming interviews,Done
Interview Scheduling,INT_02,Interview row shows candidate name job title title date/time and interviewers,Skipped
Interview Scheduling,INT_03,Empty state shown when no interviews are scheduled,Done
Interview Scheduling,INT_04,Schedule Interview button visible when applicant is Shortlisted or Reviewing,Done
Interview Scheduling,INT_05,Clicking Schedule Interview opens modal with title duration location interviewers fields,Done
Interview Scheduling,INT_06,Leaving title blank and clicking Send shows validation error; interview not created,Done
Interview Scheduling,INT_07,Selected date and time appears correctly in the modal form,Done
Interview Scheduling,INT_08,Duration dropdown shows options: 30 min 45 min 60 min 90 min,Done
Interview Scheduling,INT_09,Selecting interviewers from the list shows them in the form,Skipped
Interview Scheduling,INT_10,Office location or video meeting URL input accepted without errors,Done
Interview Scheduling,INT_11,Email preview shows correctly formatted invitation with candidate name and details,Done
Interview Scheduling,INT_12,Filling all fields and clicking Send creates interview; modal closes; status updates,Skipped
Interview Scheduling,INT_13,Interview card shown in Interviews section after scheduling,Skipped
Interview Scheduling,INT_14,Applicant status badge changes to Interview Scheduled after scheduling,Skipped
Interview Scheduling,INT_15,Cancelling the modal does not create an interview; status unchanged,Done
Draft Jobs,DRAFT_01,Save as Draft saves job with draft status; not shown in Active tab,Skipped
Draft Jobs,DRAFT_02,Draft jobs are displayed with a Draft badge in the jobs list,Done
Draft Jobs,DRAFT_03,Draft job does not appear in the Active tab,Done
Draft Jobs,DRAFT_04,Actions menu on draft job row shows Publish option (not Archive),Done
Draft Jobs,DRAFT_05,Clicking Publish on a draft job opens JD preview dialog,Done
Draft Jobs,DRAFT_06,JD preview dialog shows all criteria grouped by Must/Preferred/Nice,Done
Draft Jobs,DRAFT_07,Clicking Publish in the preview dialog makes job appear in Active tab,Done
Draft Jobs,DRAFT_08,Cancelling the preview dialog keeps job in draft status,Done
Draft Jobs,DRAFT_09,After publishing actions menu shows Archive instead of Publish,Done
Advanced Filters,FILT_01,Filter button is visible on /jobs near the search input,Done
Advanced Filters,FILT_02,Clicking Filter button opens filter panel with job type and sort options,Done
Advanced Filters,FILT_03,Filtering by job type shows only matching jobs; URL updates with ?type= param,Done
Advanced Filters,FILT_04,Sorting by Oldest reorders jobs with oldest creation date first,Done
Advanced Filters,FILT_05,Sorting by Newest reorders jobs with newest creation date first,Done
Advanced Filters,FILT_06,Applying a filter shows a visual indicator (dot or count) on the Filter button,Done
Advanced Filters,FILT_07,Clear Filters removes all filters; URL params cleared; all jobs shown,Done
Advanced Filters,FILT_08,Sorting applicants by score on job detail reorders with highest score first,Done
Advanced Filters,FILT_09,Applying a filter on /jobs/[code] shows only matching applicants; URL reflects state,Done
Advanced Filters,FILT_10,Selecting a job from filter dropdown on /applications shows only that job's applicants,Skipped
Advanced Filters,FILT_11,Job filter + status chip together show only applicants matching both; both params in URL,Skipped
Advanced Filters,FILT_12,URL with filters applied loads with same filters in a new tab,Done
